SubjID,RunNum,TrialNum,ItemNum,ItemType,LangType,TrialOnset,RT,CorrectAnswer,Response,Accuracy
FED_20190306b_3T2,10,7,100,6,en,119.6912,15.379000000000001,2,2,1
FED_20190306b_3T2,10,8,64,4,sent,140.1279,18.2327,2,2,1
FED_20190215a_3T2,11,2,83,5,jap,10.047,21.2731,3,-1,0
FED_20190215a_3T2,11,3,47,3,en,36.3681,42.951,1,-1,0
FED_20190215a_3T2,11,4,11,1,sent,84.3758,24.5598,1,-1,0
FED_20190215a_3T2,11,6,29,2,sent,124.0322,34.1659,2,-1,0
FED_20190215a_3T2,11,7,65,4,en,163.2384,21.7488,1,-1,0
FED_20190215a_3T2,11,8,101,6,jap,190.043,11.1569,1,-1,0
FED_20190215a_3T2,10,2,28,2,en,10.0521,44.9062,2,-1,0
FED_20190215a_3T2,10,3,100,6,sent,60.0101,15.1977,2,-1,0
FED_20190215a_3T2,10,4,64,4,jap,80.2636,22.2323,2,-1,0
FED_20190215a_3T2,10,6,46,3,jap,117.5696,20.3662,1,-1,0
FED_20190215a_3T2,10,7,82,5,sent,142.9905,15.0214,2,-1,0
FED_20190215a_3T2,10,8,10,1,en,163.0603,18.3176,2,-1,0
FED_20190215a_3T2,6,2,60,4,sent,10.04,41.5649,3,-1,0
FED_20190215a_3T2,6,3,24,2,jap,56.6645,21.6925,4,2,0
FED_20190215a_3T2,6,4,96,6,en,83.3854,12.4584,2,-1,0
FED_20190215a_3T2,6,6,78,5,en,110.9231,23.3496,3,-1,0
FED_20190215a_3T2,6,7,6,1,jap,139.3279,41.3984,3,2,0
FED_20190215a_3T2,6,8,42,3,sent,185.7519,21.1203,3,-1,0
FED_20190215a_3T2,7,2,7,1,en,10.0525,7.6349,3,-1,0
FED_20190215a_3T2,7,3,43,3,jap,22.7379,27.2894,2,-1,0
FED_20190215a_3T2,7,4,79,5,sent,55.0766,49.6889,2,-1,0
FED_20190215a_3T2,7,6,97,6,sent,119.8372,30.6911,1,-1,0
FED_20190215a_3T2,7,7,61,4,jap,155.5929,11.4978,3,-1,0
FED_20190215a_3T2,7,8,25,2,en,172.1288,20.4658,3,4,0
FED_20190215a_3T2,1,2,1,1,en,10.0559,50.0006,1,-1,0
FED_20190215a_3T2,1,3,37,3,jap,65.1143,50.0006,3,-1,0
FED_20190215a_3T2,1,4,73,5,sent,120.1397,50.0006,1,-1,0
FED_20190215a_3T2,1,6,91,6,sent,185.217,50.0001,2,-1,0
FED_20190215a_3T2,1,7,55,4,jap,240.2761,50.0001,1,1,1
FED_20190215a_3T2,1,8,19,2,en,295.3183,50.0013,2,-1,0
FED_20190215a_3T2,5,2,77,5,jap,10.0444,21.4462,4,1,0
FED_20190215a_3T2,5,3,41,3,en,36.5486,43.562,1,-1,0
FED_20190215a_3T2,5,4,5,1,sent,85.1732,37.7687,3,-1,0
FED_20190215a_3T2,5,6,23,2,sent,138.0152,14.7288,3,-1,0
FED_20190215a_3T2,5,7,59,4,en,157.8018,21.4966,1,-1,0
FED_20190215a_3T2,5,8,95,6,jap,184.3561,16.5225,2,-1,0
FED_20190215a_3T2,4,2,22,2,en,10.054,13.3515,2,-1,0
